  132    /C + 5  PHOTON EMISSIVITY COEFFICIENTS
    33.8A   24  21 /FILMEM = BNDLEN /TYPE = EXCIT     /INDM = 1 /ISEL=    1
 2.02E-10 2.01E-10 1.93E-10 1.85E-10 1.74E-10
 1.89E-41 2.11E-32 1.22E-25 2.10E-20 8.36E-18 3.18E-15 3.47E-13 2.55E-12
 1.10E-11 3.31E-11 5.62E-11 9.46E-11 1.42E-10 1.66E-10 1.85E-10 1.98E-10
 2.02E-10 2.01E-10 1.93E-10 1.85E-10 1.74E-10
 1.89E-41 2.11E-32 1.22E-25 2.10E-20 8.36E-18 3.18E-15 3.47E-13 2.55E-12
 1.10E-11 3.30E-11 5.61E-11 9.45E-11 1.42E-10 1.66E-10 1.85E-10 1.98E-10
 2.02E-10 2.01E-10 1.93E-10 1.85E-10 1.74E-10
 1.89E-41 2.11E-32 1.22E-25 2.10E-20 8.36E-18 3.18E-15 3.47E-13 2.55E-12
 1.10E-11 3.30E-11 5.61E-11 9.44E-11 1.41E-10 1.66E-10 1.85E-10 1.98E-10
 2.01E-10 2.01E-10 1.93E-10 1.85E-10 1.74E-10
 1.89E-41 2.11E-32 1.22E-25 2.10E-20 8.36E-18 3.18E-15 3.47E-13 2.55E-12
 1.10E-11 3.30E-11 5.60E-11 9.43E-11 1.41E-10 1.66E-10 1.85E-10 1.97E-10
 2.01E-10 2.01E-10 1.93E-10 1.85E-10 1.74E-10
 1.89E-41 2.11E-32 1.22E-25 2.10E-20 8.36E-18 3.18E-15 3.47E-13 2.55E-12
 1.10E-11 3.30E-11 5.60E-11 9.42E-11 1.41E-10 1.66E-10 1.85E-10 1.97E-10
 2.01E-10 2.00E-10 1.93E-10 1.85E-10 1.74E-10
 1.89E-41 2.11E-32 1.22E-25 2.10E-20 8.36E-18 3.18E-15 3.47E-13 2.54E-12
 1.10E-11 3.29E-11 5.59E-11 9.40E-11 1.41E-10 1.65E-10 1.84E-10 1.97E-10
 2.01E-10 2.00E-10 1.92E-10 1.84E-10 1.74E-10
 1.89E-41 2.11E-32 1.22E-25 2.10E-20 8.36E-18 3.18E-15 3.46E-13 2.54E-12
 1.10E-11 3.29E-11 5.58E-11 9.39E-11 1.40E-10 1.65E-10 1.84E-10 1.96E-10
 2.00E-10 2.00E-10 1.92E-10 1.84E-10 1.74E-10
 1.89E-41 2.11E-32 1.22E-25 2.10E-20 8.36E-18 3.18E-15 3.46E-13 2.54E-12
 1.10E-11 3.28E-11 5.56E-11 9.36E-11 1.40E-10 1.65E-10 1.83E-10 1.96E-10
 2.00E-10 1.99E-10 1.92E-10 1.84E-10 1.73E-10
